epoch,step,train_acc,train_loss,val_acc,val_loss
0,295,,,0.8931481242179871,0.4447089433670044
0,295,0.46957671642303467,1.6875426769256592,,
1,591,,,0.9531481266021729,0.14610594511032104
1,591,0.9191005229949951,0.24932940304279327,,
2,887,,,0.9505555629730225,0.14747482538223267
2,887,0.9521692991256714,0.14599944651126862,,
3,1183,,,0.9722222089767456,0.08406422287225723
3,1183,0.9605820178985596,0.12132512778043747,,
4,1479,,,0.9675925970077515,0.09308482706546783
4,1479,0.9688888788223267,0.09247034043073654,,
5,1775,,,0.9679629802703857,0.09669914096593857
5,1775,0.9739682674407959,0.07853400707244873,,
6,2071,,,0.977222204208374,0.06644653528928757
6,2071,0.9773545265197754,0.06584274023771286,,
7,2367,,,0.9820370078086853,0.05493233725428581
7,2367,0.9807407259941101,0.056304316967725754,,
8,2663,,,0.9800000190734863,0.06354045122861862
8,2663,0.9868783354759216,0.04175975173711777,,
9,2959,,,0.9812963008880615,0.0567876473069191
9,2959,0.9877248406410217,0.034617651253938675,,
10,3255,,,0.9850000143051147,0.053256526589393616
10,3255,0.992222249507904,0.021676916629076004,,
11,3551,,,0.9862962961196899,0.0482475608587265
11,3551,0.9934391379356384,0.01946575939655304,,
12,3847,,,0.9861111044883728,0.04489664360880852
12,3847,0.9969311952590942,0.01079651340842247,,
13,4143,,,0.9875925779342651,0.04251373931765556
13,4143,0.9962433576583862,0.01094377413392067,,
